QB,RB,RB,WR,WR,WR,TE,FX,DST,Salary,Projection
QB5,RB1,RB2,WR1,WR2,WR15,TE2,TE3,DST1,45700,127.8
QB5,RB1,RB2,WR1,WR2,WR16,TE1,TE3,DST1,45700,129.3
QB5,RB1,RB3,WR1,WR2,WR10,TE1,TE6,DST1,45700,125.5
QB5,RB2,RB3,WR1,WR2,WR12,TE2,TE3,DST1,45700,130.2
QB5,RB2,RB3,WR1,WR2,WR13,TE1,TE3,DST1,45700,128.3
QB5,RB2,RB3,WR1,WR2,WR14,TE1,TE2,DST1,45700,129.2
QB5,RB2,RB4,WR1,WR2,WR11,TE2,TE3,DST1,45700,127.8
QB5,RB2,RB4,WR1,WR2,WR12,TE1,TE3,DST1,45700,132.9
QB5,RB2,RB4,WR1,WR2,WR13,TE1,TE2,DST1,45700,127.8
QB5,RB2,RB5,WR1,WR2,WR10,TE2,TE3,DST1,45700,125.3
QB5,RB2,RB5,WR1,WR2,WR11,TE1,TE3,DST1,45700,127.9
QB5,RB2,RB5,WR1,WR2,WR12,TE1,TE2,DST1,45700,129.8
QB5,RB2,RB6,WR1,WR2,WR10,TE1,TE3,DST1,45700,129.4
QB5,RB2,RB6,WR1,WR2,WR11,TE1,TE2,DST1,45700,128.8
QB5,RB1,RB2,WR1,WR2,WR10,TE3,TE6,DST1,45800,125.2
QB5,RB1,RB2,WR1,WR2,WR11,TE2,TE6,DST1,45800,124.6
QB5,RB1,RB2,WR1,WR2,WR12,TE1,TE6,DST1,45800,129.7
QB5,RB1,RB3,WR1,WR2,WR10,TE1,TE7,DST1,45800,130.5
QB5,RB1,RB3,WR1,WR2,WR14,TE2,TE3,DST1,45800,128.1
QB5,RB1,RB3,WR1,WR2,WR15,TE1,TE3,DST1,45800,130.2
QB5,RB1,RB3,WR1,WR2,WR16,TE1,TE2,DST1,45800,128.5
QB5,RB1,RB4,WR1,WR2,WR13,TE2,TE3,DST1,45800,126.7
QB5,RB1,RB4,WR1,WR2,WR14,TE1,TE3,DST1,45800,130.8
QB5,RB1,RB4,WR1,WR2,WR15,TE1,TE2,DST1,45800,129.7
QB5,RB1,RB5,WR1,WR2,WR12,TE2,TE3,DST1,45800,128.7
QB5,RB1,RB5,WR1,WR2,WR13,TE1,TE3,DST1,45800,126.8
QB5,RB1,RB5,WR1,WR2,WR14,TE1,TE2,DST1,45800,127.7
QB5,RB1,RB6,WR1,WR2,WR11,TE2,TE3,DST1,45800,127.7
QB5,RB1,RB6,WR1,WR2,WR12,TE1,TE3,DST1,45800,132.8
QB5,RB1,RB6,WR1,WR2,WR13,TE1,TE2,DST1,45800,127.7
QB5,RB3,RB4,WR1,WR2,WR10,TE2,TE3,DST1,45800,127.6
QB5,RB3,RB4,WR1,WR2,WR11,TE1,TE3,DST1,45800,130.2
QB5,RB3,RB4,WR1,WR2,WR12,TE1,TE2,DST1,45800,132.1
QB5,RB3,RB5,WR1,WR2,WR10,TE1,TE3,DST1,45800,127.7
QB5,RB3,RB5,WR1,WR2,WR11,TE1,TE2,DST1,45800,127.1
QB5,RB3,RB6,WR1,WR2,WR10,TE1,TE2,DST1,45800,128.6
QB5,RB4,RB5,WR1,WR2,WR10,TE1,TE2,DST1,45800,127.2
QB5,RB1,RB2,WR1,WR2,WR10,TE3,TE7,DST1,45900,130.2
QB5,RB1,RB2,WR1,WR2,WR11,TE2,TE7,DST1,45900,129.6
QB5,RB1,RB2,WR1,WR2,WR12,TE1,TE7,DST1,45900,134.7
QB5,RB1,RB2,WR1,WR2,WR16,TE2,TE3,DST1,45900,128.2
QB5,RB1,RB3,WR1,WR2,WR10,TE2,TE6,DST1,45900,124.4
QB5,RB1,RB3,WR1,WR2,WR11,TE1,TE6,DST1,45900,127.0
QB5,RB1,RB4,WR1,WR2,WR10,TE1,TE6,DST1,45900,127.1
QB5,RB2,RB3,WR1,WR2,WR13,TE2,TE3,DST1,45900,127.2
QB5,RB2,RB3,WR1,WR2,WR14,TE1,TE3,DST1,45900,131.3
QB5,RB2,RB3,WR1,WR2,WR15,TE1,TE2,DST1,45900,130.2
QB5,RB2,RB4,WR1,WR2,WR12,TE2,TE3,DST1,45900,131.8
QB5,RB2,RB4,WR1,WR2,WR13,TE1,TE3,DST1,45900,129.9
QB5,RB2,RB4,WR1,WR2,WR14,TE1,TE2,DST1,45900,130.8
QB5,RB2,RB5,WR1,WR2,WR11,TE2,TE3,DST1,45900,126.8
QB5,RB2,RB5,WR1,WR2,WR12,TE1,TE3,DST1,45900,131.9
QB5,RB2,RB5,WR1,WR2,WR13,TE1,TE2,DST1,45900,126.8
QB5,RB2,RB6,WR1,WR2,WR10,TE2,TE3,DST1,45900,128.3
QB5,RB2,RB6,WR1,WR2,WR11,TE1,TE3,DST1,45900,130.9
QB5,RB2,RB6,WR1,WR2,WR12,TE1,TE2,DST1,45900,132.8
QB5,RB1,RB2,WR1,WR2,WR10,TE1,RB3,DST1,45900,127.7
QB5,RB1,RB2,WR1,WR2,WR11,TE3,TE6,DST1,46000,126.7
QB5,RB1,RB2,WR1,WR2,WR12,TE2,TE6,DST1,46000,128.6
QB5,RB1,RB2,WR1,WR2,WR13,TE1,TE6,DST1,46000,126.7
QB5,RB1,RB3,WR1,WR2,WR10,TE2,TE7,DST1,46000,129.4
QB5,RB1,RB3,WR1,WR2,WR11,TE1,TE7,DST1,46000,132.0
QB5,RB1,RB3,WR1,WR2,WR15,TE2,TE3,DST1,46000,129.1
QB5,RB1,RB3,WR1,WR2,WR16,TE1,TE3,DST1,46000,130.6
QB5,RB1,RB4,WR1,WR2,WR10,TE1,TE7,DST1,46000,132.1
QB5,RB1,RB4,WR1,WR2,WR14,TE2,TE3,DST1,46000,129.7
QB5,RB1,RB4,WR1,WR2,WR15,TE1,TE3,DST1,46000,131.8
QB5,RB1,RB4,WR1,WR2,WR16,TE1,TE2,DST1,46000,130.1
QB5,RB1,RB5,WR1,WR2,WR13,TE2,TE3,DST1,46000,125.7
QB5,RB1,RB5,WR1,WR2,WR14,TE1,TE3,DST1,46000,129.8
QB5,RB1,RB5,WR1,WR2,WR15,TE1,TE2,DST1,46000,128.7
QB5,RB1,RB6,WR1,WR2,WR12,TE2,TE3,DST1,46000,131.7
QB5,RB1,RB6,WR1,WR2,WR13,TE1,TE3,DST1,46000,129.8
QB5,RB1,RB6,WR1,WR2,WR14,TE1,TE2,DST1,46000,130.7
QB5,RB2,RB3,WR1,WR2,WR10,TE1,TE6,DST1,46000,127.6
QB5,RB3,RB4,WR1,WR2,WR11,TE2,TE3,DST1,46000,129.1
QB5,RB3,RB4,WR1,WR2,WR12,TE1,TE3,DST1,46000,134.2
QB5,RB3,RB4,WR1,WR2,WR13,TE1,TE2,DST1,46000,129.1
QB5,RB3,RB5,WR1,WR2,WR10,TE2,TE3,DST1,46000,126.6
QB5,RB3,RB5,WR1,WR2,WR11,TE1,TE3,DST1,46000,129.2
QB5,RB3,RB5,WR1,WR2,WR12,TE1,TE2,DST1,46000,131.1
QB5,RB3,RB6,WR1,WR2,WR10,TE1,TE3,DST1,46000,130.7
QB5,RB3,RB6,WR1,WR2,WR11,TE1,TE2,DST1,46000,130.1
QB5,RB4,RB5,WR1,WR2,WR10,TE1,TE3,DST1,46000,129.3
QB5,RB4,RB5,WR1,WR2,WR11,TE1,TE2,DST1,46000,128.7
QB5,RB4,RB6,WR1,WR2,WR10,TE1,TE2,DST1,46000,130.2
QB5,RB1,RB2,WR1,WR2,WR11,TE3,TE7,DST1,46100,131.7
QB5,RB1,RB2,WR1,WR2,WR12,TE2,TE7,DST1,46100,133.6
QB5,RB1,RB2,WR1,WR2,WR13,TE1,TE7,DST1,46100,131.7
QB5,RB1,RB2,WR1,WR2,WR17,TE1,TE2,DST1,46100,123.8
QB5,RB1,RB3,WR1,WR2,WR10,TE3,TE6,DST1,46100,126.5
QB5,RB1,RB3,WR1,WR2,WR11,TE2,TE6,DST1,46100,125.9
QB5,RB1,RB3,WR1,WR2,WR12,TE1,TE6,DST1,46100,131.0
QB5,RB1,RB4,WR1,WR2,WR10,TE2,TE6,DST1,46100,126.0
QB5,RB1,RB4,WR1,WR2,WR11,TE1,TE6,DST1,46100,128.6
QB5,RB1,RB5,WR1,WR2,WR10,TE1,TE6,DST1,46100,126.1
QB5,RB2,RB3,WR1,WR2,WR10,TE1,TE7,DST1,46100,132.6
QB5,RB2,RB3,WR1,WR2,WR14,TE2,TE3,DST1,46100,130.2
QB5,RB2,RB3,WR1,WR2,WR15,TE1,TE3,DST1,46100,132.3
QB5,RB2,RB3,WR1,WR2,WR16,TE1,TE2,DST1,46100,130.6
QB5,RB2,RB4,WR1,WR2,WR13,TE2,TE3,DST1,46100,128.8
QB5,RB2,RB4,WR1,WR2,WR14,TE1,TE3,DST1,46100,132.9
QB5,RB2,RB4,WR1,WR2,WR15,TE1,TE2,DST1,46100,131.8
QB5,RB2,RB5,WR1,WR2,WR12,TE2,TE3,DST1,46100,130.8
QB5,RB2,RB5,WR1,WR2,WR13,TE1,TE3,DST1,46100,128.9
QB5,RB2,RB5,WR1,WR2,WR14,TE1,TE2,DST1,46100,129.8
QB5,RB2,RB6,WR1,WR2,WR11,TE2,TE3,DST1,46100,129.8
QB5,RB2,RB6,WR1,WR2,WR12,TE1,TE3,DST1,46100,134.9
QB5,RB2,RB6,WR1,WR2,WR13,TE1,TE2,DST1,46100,129.8
QB5,RB1,RB2,WR1,WR2,WR10,TE2,RB3,DST1,46100,126.6
QB5,RB1,RB2,WR1,WR2,WR11,TE1,RB3,DST1,46100,129.2
QB5,RB1,RB2,WR1,WR2,WR10,TE1,RB4,DST1,46100,129.3
QB5,RB1,RB2,WR1,WR2,WR12,TE3,TE6,DST1,46200,130.7
QB5,RB1,RB2,WR1,WR2,WR13,TE2,TE6,DST1,46200,125.6
QB5,RB1,RB2,WR1,WR2,WR14,TE1,TE6,DST1,46200,129.7
QB5,RB1,RB2,WR1,WR10,WR11,TE1,TE2,DST1,46200,126.2
QB5,RB1,RB3,WR1,WR2,WR10,TE3,TE7,DST1,46200,131.5
QB5,RB1,RB3,WR1,WR2,WR11,TE2,TE7,DST1,46200,130.9
QB5,RB1,RB3,WR1,WR2,WR12,TE1,TE7,DST1,46200,136.0
QB5,RB1,RB3,WR1,WR2,WR16,TE2,TE3,DST1,46200,129.5
QB5,RB1,RB4,WR1,WR2,WR10,TE2,TE7,DST1,46200,131.0
QB5,RB1,RB4,WR1,WR2,WR11,TE1,TE7,DST1,46200,133.6
QB5,RB1,RB4,WR1,WR2,WR15,TE2,TE3,DST1,46200,130.7
QB5,RB1,RB4,WR1,WR2,WR16,TE1,TE3,DST1,46200,132.2
QB5,RB1,RB5,WR1,WR2,WR10,TE1,TE7,DST1,46200,131.1
QB5,RB1,RB5,WR1,WR2,WR14,TE2,TE3,DST1,46200,128.7
QB5,RB1,RB5,WR1,WR2,WR15,TE1,TE3,DST1,46200,130.8
QB5,RB1,RB5,WR1,WR2,WR16,TE1,TE2,DST1,46200,129.1
QB5,RB1,RB6,WR1,WR2,WR13,TE2,TE3,DST1,46200,128.7
QB5,RB1,RB6,WR1,WR2,WR14,TE1,TE3,DST1,46200,132.8
QB5,RB1,RB6,WR1,WR2,WR15,TE1,TE2,DST1,46200,131.7
QB5,RB2,RB3,WR1,WR2,WR10,TE2,TE6,DST1,46200,126.5
QB5,RB2,RB3,WR1,WR2,WR11,TE1,TE6,DST1,46200,129.1
QB5,RB2,RB4,WR1,WR2,WR10,TE1,TE6,DST1,46200,129.2
QB5,RB3,RB4,WR1,WR2,WR12,TE2,TE3,DST1,46200,133.1
QB5,RB3,RB4,WR1,WR2,WR13,TE1,TE3,DST1,46200,131.2
QB5,RB3,RB4,WR1,WR2,WR14,TE1,TE2,DST1,46200,132.1
QB5,RB3,RB5,WR1,WR2,WR11,TE2,TE3,DST1,46200,128.1
QB5,RB3,RB5,WR1,WR2,WR12,TE1,TE3,DST1,46200,133.2
QB5,RB3,RB5,WR1,WR2,WR13,TE1,TE2,DST1,46200,128.1
QB5,RB3,RB6,WR1,WR2,WR10,TE2,TE3,DST1,46200,129.6
QB5,RB3,RB6,WR1,WR2,WR11,TE1,TE3,DST1,46200,132.2
QB5,RB3,RB6,WR1,WR2,WR12,TE1,TE2,DST1,46200,134.1
QB5,RB4,RB5,WR1,WR2,WR10,TE2,TE3,DST1,46200,128.2
QB5,RB4,RB5,WR1,WR2,WR11,TE1,TE3,DST1,46200,130.8
QB5,RB4,RB5,WR1,WR2,WR12,TE1,TE2,DST1,46200,132.7
QB5,RB4,RB6,WR1,WR2,WR10,TE1,TE3,DST1,46200,132.3
QB5,RB4,RB6,WR1,WR2,WR11,TE1,TE2,DST1,46200,131.7
QB5,RB5,RB6,WR1,WR2,WR10,TE1,TE2,DST1,46200,129.2
QB5,RB1,RB2,WR1,WR2,WR12,TE3,TE7,DST1,46300,135.7
QB5,RB1,RB2,WR1,WR2,WR13,TE2,TE7,DST1,46300,130.6
QB5,RB1,RB2,WR1,WR2,WR14,TE1,TE7,DST1,46300,134.7
QB5,RB1,RB2,WR1,WR2,WR17,TE1,TE3,DST1,46300,125.9
QB5,RB1,RB3,WR1,WR2,WR11,TE3,TE6,DST1,46300,128.0
QB5,RB1,RB3,WR1,WR2,WR12,TE2,TE6,DST1,46300,129.9
QB5,RB1,RB3,WR1,WR2,WR13,TE1,TE6,DST1,46300,128.0
QB5,RB1,RB4,WR1,WR2,WR10,TE3,TE6,DST1,46300,128.1
QB5,RB1,RB4,WR1,WR2,WR11,TE2,TE6,DST1,46300,127.5
QB5,RB1,RB4,WR1,WR2,WR12,TE1,TE6,DST1,46300,132.6
QB5,RB1,RB5,WR1,WR2,WR10,TE2,TE6,DST1,46300,125.0
QB5,RB1,RB5,WR1,WR2,WR11,TE1,TE6,DST1,46300,127.6
QB5,RB1,RB6,WR1,WR2,WR10,TE1,TE6,DST1,46300,129.1
QB5,RB2,RB3,WR1,WR2,WR10,TE2,TE7,DST1,46300,131.5
QB5,RB2,RB3,WR1,WR2,WR11,TE1,TE7,DST1,46300,134.1
QB5,RB2,RB3,WR1,WR2,WR15,TE2,TE3,DST1,46300,131.2
QB5,RB2,RB3,WR1,WR2,WR16,TE1,TE3,DST1,46300,132.7
QB5,RB2,RB4,WR1,WR2,WR10,TE1,TE7,DST1,46300,134.2
QB5,RB2,RB4,WR1,WR2,WR14,TE2,TE3,DST1,46300,131.8
QB5,RB2,RB4,WR1,WR2,WR15,TE1,TE3,DST1,46300,133.9
QB5,RB2,RB4,WR1,WR2,WR16,TE1,TE2,DST1,46300,132.2
QB5,RB2,RB5,WR1,WR2,WR13,TE2,TE3,DST1,46300,127.8
QB5,RB2,RB5,WR1,WR2,WR14,TE1,TE3,DST1,46300,131.9
QB5,RB2,RB5,WR1,WR2,WR15,TE1,TE2,DST1,46300,130.8
QB5,RB2,RB6,WR1,WR2,WR12,TE2,TE3,DST1,46300,133.8
QB5,RB2,RB6,WR1,WR2,WR13,TE1,TE3,DST1,46300,131.9
QB5,RB2,RB6,WR1,WR2,WR14,TE1,TE2,DST1,46300,132.8
QB5,RB1,RB2,WR1,WR2,WR10,TE3,RB3,DST1,46300,128.7
QB5,RB1,RB2,WR1,WR2,WR11,TE2,RB3,DST1,46300,128.1
QB5,RB1,RB2,WR1,WR2,WR12,TE1,RB3,DST1,46300,133.2
QB5,RB1,RB2,WR1,WR2,WR10,TE2,RB4,DST1,46300,128.2
QB5,RB1,RB2,WR1,WR2,WR11,TE1,RB4,DST1,46300,130.8
QB5,RB1,RB2,WR1,WR2,WR10,TE1,RB5,DST1,46300,128.3
QB5,RB1,RB2,WR1,WR2,WR10,TE1,TE8,DST1,46400,131.2
QB5,RB1,RB2,WR1,WR2,WR13,TE3,TE6,DST1,46400,127.7
QB5,RB1,RB2,WR1,WR2,WR14,TE2,TE6,DST1,46400,128.6
QB5,RB1,RB2,WR1,WR2,WR15,TE1,TE6,DST1,46400,130.7
QB5,RB1,RB2,WR1,WR10,WR11,TE1,TE3,DST1,46400,128.3
QB5,RB1,RB2,WR1,WR10,WR12,TE1,TE2,DST1,46400,130.2
QB5,RB1,RB2,WR2,WR10,WR11,TE1,TE2,DST1,46400,130.3
QB5,RB1,RB3,WR1,WR2,WR11,TE3,TE7,DST1,46400,133.0
QB5,RB1,RB3,WR1,WR2,WR12,TE2,TE7,DST1,46400,134.9
QB5,RB1,RB3,WR1,WR2,WR13,TE1,TE7,DST1,46400,133.0
QB5,RB1,RB3,WR1,WR2,WR17,TE1,TE2,DST1,46400,125.1
QB5,RB1,RB4,WR1,WR2,WR10,TE3,TE7,DST1,46400,133.1
QB5,RB1,RB4,WR1,WR2,WR11,TE2,TE7,DST1,46400,132.5
QB5,RB1,RB4,WR1,WR2,WR12,TE1,TE7,DST1,46400,137.6
QB5,RB1,RB4,WR1,WR2,WR16,TE2,TE3,DST1,46400,131.1
QB5,RB1,RB5,WR1,WR2,WR10,TE2,TE7,DST1,46400,130.0
QB5,RB1,RB5,WR1,WR2,WR11,TE1,TE7,DST1,46400,132.6
QB5,RB1,RB5,WR1,WR2,WR15,TE2,TE3,DST1,46400,129.7
QB5,RB1,RB5,WR1,WR2,WR16,TE1,TE3,DST1,46400,131.2
QB5,RB1,RB6,WR1,WR2,WR10,TE1,TE7,DST1,46400,134.1
QB5,RB1,RB6,WR1,WR2,WR14,TE2,TE3,DST1,46400,131.7
QB5,RB1,RB6,WR1,WR2,WR15,TE1,TE3,DST1,46400,133.8
QB5,RB1,RB6,WR1,WR2,WR16,TE1,TE2,DST1,46400,132.1
QB5,RB1,RB12,WR1,WR2,WR10,TE1,TE2,DST1,46400,125.1
QB5,RB2,RB3,WR1,WR2,WR10,TE3,TE6,DST1,46400,128.6
QB5,RB2,RB3,WR1,WR2,WR11,TE2,TE6,DST1,46400,128.0
QB5,RB2,RB3,WR1,WR2,WR12,TE1,TE6,DST1,46400,133.1
QB5,RB2,RB4,WR1,WR2,WR10,TE2,TE6,DST1,46400,128.1
QB5,RB2,RB4,WR1,WR2,WR11,TE1,TE6,DST1,46400,130.7
QB5,RB2,RB5,WR1,WR2,WR10,TE1,TE6,DST1,46400,128.2
QB5,RB3,RB4,WR1,WR2,WR13,TE2,TE3,DST1,46400,130.1
QB5,RB3,RB4,WR1,WR2,WR14,TE1,TE3,DST1,46400,134.2
QB5,RB3,RB4,WR1,WR2,WR15,TE1,TE2,DST1,46400,133.1
QB5,RB3,RB5,WR1,WR2,WR12,TE2,TE3,DST1,46400,132.1
QB5,RB3,RB5,WR1,WR2,WR13,TE1,TE3,DST1,46400,130.2
QB5,RB3,RB5,WR1,WR2,WR14,TE1,TE2,DST1,46400,131.1
QB5,RB3,RB6,WR1,WR2,WR11,TE2,TE3,DST1,46400,131.1
QB5,RB3,RB6,WR1,WR2,WR12,TE1,TE3,DST1,46400,136.2
QB5,RB3,RB6,WR1,WR2,WR13,TE1,TE2,DST1,46400,131.1
QB5,RB4,RB5,WR1,WR2,WR11,TE2,TE3,DST1,46400,129.7
QB5,RB4,RB5,WR1,WR2,WR12,TE1,TE3,DST1,46400,134.8
QB5,RB4,RB5,WR1,WR2,WR13,TE1,TE2,DST1,46400,129.7
QB5,RB4,RB6,WR1,WR2,WR10,TE2,TE3,DST1,46400,131.2
QB5,RB4,RB6,WR1,WR2,WR11,TE1,TE3,DST1,46400,133.8
QB5,RB4,RB6,WR1,WR2,WR12,TE1,TE2,DST1,46400,135.7
QB5,RB5,RB6,WR1,WR2,WR10,TE1,TE3,DST1,46400,131.3
QB5,RB5,RB6,WR1,WR2,WR11,TE1,TE2,DST1,46400,130.7
QB5,RB1,RB3,WR1,WR2,WR10,TE1,RB4,DST1,46400,130.6
QB5,RB1,RB2,WR1,WR2,WR13,TE3,TE7,DST1,46500,132.7
QB5,RB1,RB2,WR1,WR2,WR14,TE2,TE7,DST1,46500,133.6
QB5,RB1,RB2,WR1,WR2,WR15,TE1,TE7,DST1,46500,135.7
QB5,RB1,RB2,WR1,WR2,WR17,TE2,TE3,DST1,46500,124.8
